uri,author,replying_to,text,created_at,depth,likes,reposts
at://did:plc:kg4xfwamc2x3j5epuoxsublq/app.bsky.feed.post/3mllmd5v7oc2s,westernthoughts.bsky.social,cyberbadboy.com,I was going to aerosolize some rat feces as a fun arts and crafts project but I guess I can slide that to tomorrow.,2026-05-11T15:40:51.046Z,1,4,0
at://did:plc:jqwjheicqjeid7o2oq2exazd/app.bsky.feed.post/3mlltd46jvk2u,stepmuel.bsky.social,cyberbadboy.com,Please also protect others by washing your hands BEFORE you touch rat feces 🧐,2026-05-11T17:46:05.447Z,1,0,0
at://did:plc:jottliloakrh34y6lwq3opfn/app.bsky.feed.post/3mlmg6osvfk2g,aleph.bsky.social,cyberbadboy.com,"ive started crushing up the rat feces and injecting it directly into my children, so they can build a natural immunity",2026-05-11T23:23:38.311Z,1,5,0
at://did:plc:inknniszq76oefrftu7abg7z/app.bsky.feed.post/3mlllxezjjc2f,soupcanman.bsky.social,cyberbadboy.com,"i kiss the subway rats every other day, instead of daily",2026-05-11T15:34:15.873Z,1,30,3
at://did:plc:2tjiu3ydbuaznxooclmxjetd/app.bsky.feed.post/3mlloamqefs2g,darrylayo.bsky.social,soupcanman.bsky.social,"Sad, but sacrifices must be made",2026-05-11T16:15:13.436Z,2,9,0
at://did:plc:idw3wm76kt2liq2vixfcgsds/app.bsky.feed.post/3mlpzjjlocs2v,elhopkins.bsky.social,cyberbadboy.com,Washing hands is inadequate for an airborne virus and we are totally unprepared pressat.co.uk/releases/cov...,2026-05-13T09:47:42.240Z,1,1,0
at://did:plc:4eu5doxghnlacqb6qgqhmguz/app.bsky.feed.post/3mlrrywm6sk2e,uyscutipeach.bsky.social,elhopkins.bsky.social,"Humans are at their dumbest point since the dark ages, this virus is airborne and human to human and they’ve already let it spread into the public. 

We are doomed.",2026-05-14T02:38:28.747Z,2,0,0
at://did:plc:gzp4j4btkyvpcff7zmi35smm/app.bsky.feed.post/3mlpebrnrts23,jhsu802701.bsky.social,cyberbadboy.com,Why should I do anything different?  N95 masks will still work.  So will Corsi Rosenthal boxes or other air purifiers.  Those are both BY FAR the two most important precautions.  Other precautions (like getting enough Vitamin D and consuming a healthy diet) are secondary.,2026-05-13T03:27:33.682Z,1,0,0
at://did:plc:gkvgb6j57dewtvfha375crkn/app.bsky.feed.post/3mlli6w54ak2g,justanotherant.bsky.social,cyberbadboy.com,No more scat play in my Chuck E. Cheese costume.,2026-05-11T14:26:53.730Z,1,25,2
at://did:plc:gesteitzd6rzpfrcnlj7b364/app.bsky.feed.post/3mllphquowk24,baro.bsky.social,cyberbadboy.com,I can't wait for this to be over so I can go back to never washing my hands.,2026-05-11T16:37:06.395Z,1,2,0
at://did:plc:g52vl3r3nv2l6ph6i2qvv46i/app.bsky.feed.post/3mlluttpc2c2p,drunkenlemur.bsky.social,cyberbadboy.com,"Stopped drinking orange soda, but I may have misheard something.",2026-05-11T18:13:20.725Z,1,4,1
at://did:plc:f5nsehl5yvqnuxzsgcvsw336/app.bsky.feed.post/3mlm2bznujc2t,itsasp.bsky.social,cyberbadboy.com,Stop calling me that,2026-05-11T19:50:45.441Z,1,1,0
at://did:plc:dsow7nvzmoefruwymboesjf7/app.bsky.feed.post/3mlmty74p5c25,ravenlasagna.bsky.social,cyberbadboy.com,Canceling all my transatlantic cruises for the foreseeable future.,2026-05-12T03:30:32.913Z,1,0,0
at://did:plc:djcqfe3dxzah6entloxs2hio/app.bsky.feed.post/3mlllndti2k2t,thylema.bsky.social,cyberbadboy.com,I eat rat poop like tictacs to build immunity 📐,2026-05-11T15:28:39.082Z,1,24,1
at://did:plc:d3ke32yr6trzifn6chfscpy5/app.bsky.feed.post/3mllkpj3f2s2n,chylltyrant.bsky.social,cyberbadboy.com,when the mice and rats poop on my cutlery it unfortunately often takes weeks to discover. but i immediately rinse it all off. thankfully my cat will eat their heads and discard their bodies after a while.,2026-05-11T15:11:57.952Z,1,2,0
at://did:plc:d2cxsehmc3hojnuwc6irtxht/app.bsky.feed.post/3mlltxd74rk26,vonhonkington.bsky.social,cyberbadboy.com,Take that pic of purposes for hands (petting the rat etc) and add contracting hantavirus from the rat,2026-05-11T17:57:23.894Z,1,0,0
at://did:plc:contczdbn53yhdhgwjffh4jx/app.bsky.feed.post/3mllw6xkvk22q,gthanku.bsky.social,cyberbadboy.com,"I'm fighting the dirtbag ""left"" brigade that is trying to convince people to eat rat feces three times a day as opposed to the normal amount (a real thing actually happening on here, for real)",2026-05-11T18:37:27.599Z,1,5,0
at://did:plc:cexoqsdnukfflq6jhculm23i/app.bsky.feed.post/3mllpollmqs2w,bigworker.bsky.social,cyberbadboy.com,I'm really worried about Hantavirus so I'm going so far as to reduce the amount of rat feces I touch at all,2026-05-11T16:40:55.735Z,1,3,0
at://did:plc:be4d7vbo5cwqxq526rpvei73/app.bsky.feed.post/3mlp5bfcj6k2y,edon91.bsky.social,bigworker.bsky.social,It's dry feces you need to worry about. So I just pour Aquafina on it so that I don't have to waste perfectly good water.,2026-05-13T01:22:04.538Z,2,0,0
at://did:plc:b3jywkg7mlr6mwhvtguvkgqv/app.bsky.feed.post/3mllpy4e5sk2r,cholingo.bsky.social,bigworker.bsky.social,may as well tell me to quit smoking,2026-05-11T16:46:15.307Z,2,4,0
at://did:plc:cexoqsdnukfflq6jhculm23i/app.bsky.feed.post/3mlls2fppak2w,bigworker.bsky.social,cholingo.bsky.social,"Yeah I know it's an extreme precaution, but cutting just a few rat poop touches out of your daily routine can really reduce your risk level",2026-05-11T17:23:19.715Z,3,3,0
at://did:plc:bqes5fj3cdo6zli7gwfyijtw/app.bsky.feed.post/3mllmex6si22v,hazelazureus.bsky.social,cyberbadboy.com,"i'm keeping slightly fewer live rats in my mouth, which has also given me a lot more room for live tarantulas",2026-05-11T15:41:51.129Z,1,8,0
at://did:plc:bn6ymp53xjnwx52lnmf4by5a/app.bsky.feed.post/3mllkatugkc2l,abunchofcats.bsky.social,cyberbadboy.com,i all ways wash my hands after touching rat feces but youd have to be some kind of looser to wash them after touching mouse feces,2026-05-11T15:03:45.942Z,1,4,0
at://did:plc:be4d7vbo5cwqxq526rpvei73/app.bsky.feed.post/3mlp4ygd7x22y,edon91.bsky.social,cyberbadboy.com,I've stopped going on cruises.,2026-05-13T01:17:03.620Z,1,0,0
at://did:plc:bdabb7bw5efvwk6dq4xur3xb/app.bsky.feed.post/3mlm2p7pecc2s,jwatte.bsky.social,cyberbadboy.com,Let the cats into the garage,2026-05-11T19:58:07.990Z,1,0,0
at://did:plc:a34opyayga7fmrujqxnjgmoi/app.bsky.feed.post/3mlltgfhdns2v,zaraworkercouncils.bsky.social,cyberbadboy.com,You touch rat feces?? I just snort it and boof it,2026-05-11T17:47:55.836Z,1,0,0
at://did:plc:7pumlgo775e2k5bukmshscm2/app.bsky.feed.post/3mlmc27c2yc2b,briansantacruz.bsky.social,cyberbadboy.com,I’ve quit birdwatching at landfills in Argentina,2026-05-11T22:09:32.845Z,1,3,0
at://did:plc:73kvkzlenq3kkopdvnjfpdbb/app.bsky.feed.post/3mllrisi7c22w,fvehafric.bsky.social,cyberbadboy.com,Hentaivirus? Isn't that...oh never mind.,2026-05-11T17:13:29.120Z,1,0,0
at://did:plc:6eao7ypiulufe42s5cryvp7t/app.bsky.feed.post/3mlmk3y5g522l,secbuff.com,cyberbadboy.com,Using fresh Hantas hoping they go viral quicker.,2026-05-12T00:33:42.397Z,1,0,0
at://did:plc:64gdpqa7xr6qrvhg3oxu4odd/app.bsky.feed.post/3mlls22figc2a,pepsodent.bsky.social,cyberbadboy.com,"I dear you eat it. 
He would. 
Believe it's possible.",2026-05-11T17:23:07.844Z,1,0,0
at://did:plc:4xykf5pbgqsg762fimjcepgi/app.bsky.feed.post/3mllldhyia22u,ouinne.bsky.social,cyberbadboy.com,"I am finding those raccoon rabies vaccine baits in the woods and eating them on the principle that it’s all medicine, it probably will keep me healthy.",2026-05-11T15:23:07.897Z,1,37,2
at://did:plc:255mlskmn5pihub3xhqxtuc6/app.bsky.feed.post/3mlllqjbtts2l,dannynightshade.bsky.social,cyberbadboy.com,"IGNORING IT!
I refuse to participate in group psychosis! I wouldn't do it in 2020 & I'll be damned if I'm doing it now!",2026-05-11T15:30:25.457Z,1,1,0
at://did:plc:255mlskmn5pihub3xhqxtuc6/app.bsky.feed.post/3mlllxmfdg22l,dannynightshade.bsky.social,dannynightshade.bsky.social,Besides! I work HERE! My system can take ANYTHING!,2026-05-11T15:34:23.595Z,2,2,0
at://did:plc:a4pqq234yw7fqbddawjo7y35/app.bsky.feed.post/3mlrhi2lh2g2w,theonion.com,,Passengers From Hantavirus-Stricken Cruise Ship Return Home https://theonion.com/passengers-from-hantavirus-stricken-cruise-ship-return-home/,2026-05-13T23:30:05.037638Z,0,316,18
at://did:plc:vvrih7jtfeo6wbu6xmbi54pc/app.bsky.feed.post/3mlrv7hzpks27,iranphotos.bsky.social,theonion.com,These themed cruises are getting weird.,2026-05-14T03:35:49.568Z,1,1,0
at://did:plc:uycyqire3yixi7dok2nw4w6f/app.bsky.feed.post/3mlrrjd2htk2f,mosesherrera.bsky.social,theonion.com,"A few years ago, my friend brought me back a White Sox jersey from his trip to Chicago, making the hantavirus the second worst thing you could bring me back from your trip.",2026-05-14T02:29:44.925Z,1,1,0
at://did:plc:qwneo3oqzexu6tbh5kyirjbk/app.bsky.feed.post/3mlrsng4zls23,dunring.com,theonion.com,"This is a lesson to us all, not to use the hot tub on a cruise ship.",2026-05-14T02:49:56.116Z,1,0,0
at://did:plc:iu4j537hox5huj4bwnwgub4z/app.bsky.feed.post/3mllotjx32p2h,acyn.bsky.social,,RFK JR on Hantavirus: We have it under control. We’re not worried about it.,2026-05-11T16:25:47.867Z,0,1763,410
at://did:plc:zzlg7jyy7i6mlpxnlhii5zc6/app.bsky.feed.post/3mlm6itqtes2e,curulogic.bsky.social,acyn.bsky.social,"That makes me feel so much better. 
I know they’re treating it with vitamin A, ivermectin, red meat, ferments and thoughts and prayers. What more do you need?",2026-05-11T21:06:09.095Z,1,3,0
at://did:plc:zz3oo5tnjwae6hzem4sqb5jj/app.bsky.feed.post/3mlm2avuoz22g,kyleiridian.bsky.social,acyn.bsky.social,says the eugenicist,2026-05-11T19:50:07.912Z,1,0,0
at://did:plc:zyr3t6y3tfju5wmupjb2qkrm/app.bsky.feed.post/3mlltwinaic2p,davidacollier.bsky.social,acyn.bsky.social,"Andes virus has an R(0) of 2.12. That means each infected person infects about two other people. For COVID-19, R₀ estimates generally range around 2.6. So we should be concerned. www.nejm.org/doi/full/10....",2026-05-11T17:56:56.046Z,1,12,2
at://did:plc:6a4e62vm6lk2yrdvnrzvqzx3/app.bsky.feed.post/3mllvowhinc27,chofualum.bsky.social,davidacollier.bsky.social,"AND..... a death rate of 35-50% while the COVID-19 death rate was generally <1% with the highest death rate for >75yo @ 17%.
And *these* mfckers are in charge?",2026-05-11T18:28:29.586Z,2,12,1
at://did:plc:zyl7cpdkdq4ewxz7sqn4bwre/app.bsky.feed.post/3mlmaatouos23,nsightful.bsky.social,acyn.bsky.social,"For RFK Jr., having to deal with this virus is a setback to the plans to reintroduce polio nationwide and changing the Salk vaccine to a mixture of whale fat and roadkill.",2026-05-11T21:37:28.080Z,1,0,0
at://did:plc:zwsm3yeeh4jqml6eaflufcyf/app.bsky.feed.post/3mllrwhml7s2f,horror4h.bsky.social,acyn.bsky.social,"See I wasn't actually worried but NOW that he says they're not worried, I am.",2026-05-11T17:21:07.492Z,1,0,0
at://did:plc:zvgrstknzs3gjpvg6cczxptk/app.bsky.feed.post/3mllpj6px3c2u,rlush.bsky.social,acyn.bsky.social,"Oh well then, I’m sure you’ll all be fine 👍",2026-05-11T16:37:54.474Z,1,3,0
at://did:plc:zqwncwtsmgvmnmcpwpdg7zro/app.bsky.feed.post/3mlltn3iflc2z,peoplehavethepower.bsky.social,acyn.bsky.social,"OK, so we have to trust the brain worm?
www.cidrap.umn.edu/healthcare-a...",2026-05-11T17:51:40.266Z,1,0,1
at://did:plc:dhoaduyqesihl4ftcsdogdao/app.bsky.feed.post/3mlm2ulo46s2b,kegelee.bsky.social,peoplehavethepower.bsky.social,"No but we should trust the medical experts informing him, including the ones on the FRONT LINES treating these patients right now and have been in the forefront of treatment for diseases like this.
These people can still be trusted. And they aren't panicking.",2026-05-11T20:01:08.303Z,2,0,0
at://did:plc:zqghct6dlvtxwb35p6znzdwb/app.bsky.feed.post/3mllpeainos2b,westonjk.bsky.social,acyn.bsky.social,"Just like Trump had COVID under control the first go ‘round and Jared Kushner claimed “ownership” of PPE and gave preferential priority to red states. JFC, America is being run into the ground by lunatics.",2026-05-11T16:35:08.560Z,1,156,19
at://did:plc:uavdefuu3mm2wss3k7mocbqv/app.bsky.feed.post/3mloagdj7w22x,confusedpenguin.bsky.social,westonjk.bsky.social,"America is being run into ground by voters, for whom this was an acceptable outcome.",2026-05-12T16:45:51.920Z,2,0,0
at://did:plc:zpdccklvla3r2x427wzdklnn/app.bsky.feed.post/3mllqtnj4k22s,thedlee.bsky.social,acyn.bsky.social,Yikes! That's the Trump administration's poker tell. They have no fucking clue what to do. They fired all the professionals.,2026-05-11T17:01:39.265Z,1,10,0
at://did:plc:zp4vu5nosjuw6xbh72it4s7b/app.bsky.feed.post/3mlm6jkhdgc22,ksecus.bsky.social,acyn.bsky.social,Oh thats reassuring.,2026-05-11T21:06:32.902Z,1,4,1
at://did:plc:znikrz4xxpugysdelfffd2tk/app.bsky.feed.post/3mllt2six4k2b,beeba1.bsky.social,acyn.bsky.social,“ It’ll go down when it gets warmer” he said in spring of 2020,2026-05-11T17:41:26.867Z,1,6,1
at://did:plc:zllso6xwcjfviqgdq5jkxfun/app.bsky.feed.post/3mllqptwcok2x,duro59.bsky.social,acyn.bsky.social,"Ok, now WE are worried.",2026-05-11T16:59:31.771Z,1,1,0
at://did:plc:zjgy37ilk2woyi3z36bmgl77/app.bsky.feed.post/3mllt3wtkak23,franken-pattern.bsky.social,acyn.bsky.social,"This is biological warfare. Sabotage.
 Drumpf fired the Pandemic Response Team right before covid hit. This is nothing short of pre-meditated murder...AGAIN.
#endthegop
#criminalenterprise 
#biologicalwarfare
#weaponizedincompetence",2026-05-11T17:42:04.962Z,1,3,0
at://did:plc:zj2wsjfjjq5wskwrlhisit6g/app.bsky.feed.post/3mllp3h6cik2w,rogerresists.bsky.social,acyn.bsky.social,If you're not worried you're a fucking idiot!,2026-05-11T16:30:13.571Z,1,3,0
at://did:plc:zgvubchbcoyqlpg5dvex3kmg/app.bsky.feed.post/3mlmmmtwdus2m,gregdreishmire.bsky.social,acyn.bsky.social,I think Trump and his cabinet should meet with the people from the ship to discuss what happened!,2026-05-12T01:18:55.880Z,1,2,0
at://did:plc:zg2n6trtriizkbtl3iln6das/app.bsky.feed.post/3mln5fjxxg227,wesleylinkbug.bsky.social,acyn.bsky.social,"Okay, #RFKJr #BoobyKennedy, let’s take any form of medical info from some huge dipshit that castrates roadkill with his on family present. 

Hard pass, you loser.",2026-05-12T06:19:04.176Z,1,0,0
at://did:plc:ze4i5ehtu3iu3wgqoo6piczb/app.bsky.feed.post/3mllovhqacs2y,jedicus.bsky.social,acyn.bsky.social,"I mean, having these people in charge is the only reason I worry about it...",2026-05-11T16:26:52.831Z,1,13,1
at://did:plc:zdgcrcoksykgyqz4zbkprn6y/app.bsky.feed.post/3mlm2qixpbk2u,equinox55.bsky.social,acyn.bsky.social,"Oh, stump is an expert on this as well. 
RFK is full of it.",2026-05-11T19:58:51.255Z,1,0,0
at://did:plc:zd7cn42cxtz6cqx7d6sru3xk/app.bsky.feed.post/3mllvj2bhks2y,bbfranin.bsky.social,acyn.bsky.social,why do all these cabinet meetings look like none of them want to be there?,2026-05-11T18:25:12.255Z,1,2,0
