author,meanCompound,postCount,majorityLabel
acelernation.bsky.social,0.0,2,neutral
acepryde.bsky.social,0.16504999999999997,2,positive
acerbicotter.bsky.social,0.10920000000000003,3,positive
acetomatocompany.bsky.social,0.4423,1,positive
acetrainerdanny.bsky.social,-0.4404,1,negative
acitrano.bsky.social,0.6369,1,positive
acl01.bsky.social,0.8402,1,positive
actualkatherine.bsky.social,0.31255714285714287,7,positive
acyn.bsky.social,0.3977,2,positive
ad-lib.bsky.social,0.0,1,neutral
adactivity.bsky.social,-0.765,1,negative
adamantiteknight.bsky.social,0.0,1,neutral
adamcancryn.bsky.social,0.0,1,neutral
adamjkovac.bsky.social,-0.4746,2,negative
adamm0rgan.bsky.social,0.0,1,neutral
adamt1966.bsky.social,0.6197,1,positive
adanner.bsky.social,0.4199,1,positive
adantejada.bsky.social,0.0,1,neutral
adayinmylife64.bsky.social,-0.23835,2,neutral
adcpainting.bsky.social,0.0,1,neutral
adeencityartsboard.bsky.social,0.0,1,neutral
adelebiden.bsky.social,0.0,1,neutral
adfonteslogos.bsky.social,-0.6808,1,negative
adhdgobl.in,0.1806,2,neutral
adinayoffie.bsky.social,-0.21686666666666668,3,neutral
adiw1202.bsky.social,0.0,1,neutral
adjunctangel.bsky.social,-0.6705,1,negative
adkerratic.bsky.social,0.0,1,neutral
adkraine.bsky.social,0.4939,1,positive
adlangx.bsky.social,0.0,1,neutral
adoptedamerican.bsky.social,-0.6771,1,negative
adorableoddities.bsky.social,0.765,1,positive
adotsad.bsky.social,0.125,2,positive
adrenalinearch.bsky.social,0.0,1,neutral
adrianevillano.bsky.social,-0.3053666666666666,3,negative
adrianwashere.bsky.social,-0.5859,1,negative
adtru.bsky.social,0.0772,1,positive
adviceconsent.bsky.social,0.0,1,neutral
adybee.bsky.social,-0.5106,1,negative
aebentertainment.bsky.social,0.0,1,neutral
aegixdrakan.bsky.social,-0.6249,1,negative
aerinea.bsky.social,-0.5106,1,negative
aethelfleda.bsky.social,0.5669,1,positive
aetiology.bsky.social,-0.01005,20,negative
aexia.bsky.social,0.0,1,neutral
aferaldavid.bsky.social,0.3401,1,positive
affirm-sanity.bsky.social,0.7845,1,positive
aflockbetweenpastures.com,-0.6072,1,negative
afnarratives.blacksky.app,0.0,1,neutral
afrocentrickali.bsky.social,0.3612,1,positive
aganessie.bsky.social,-0.2187,3,negative
agedadventure.bsky.social,-0.8871,1,negative
agentia-primus-xix.bsky.social,-0.5267,1,negative
agentnaz.bsky.social,0.5574,1,positive
ageofreason-tpaine.bsky.social,-0.5267,1,negative
agnesofthedogs.bsky.social,-0.2787,2,negative
agonyflips.bsky.social,-0.19174999999999998,6,negative
agramuglia.bsky.social,0.0,1,neutral
agrippa7.bsky.social,0.0,1,neutral
agrippa999.bsky.social,-0.8957,1,negative
agropelter.bsky.social,0.6705,1,positive
aguababy.bsky.social,0.0,1,neutral
agujack.bsky.social,0.0,1,neutral
aheise.bsky.social,0.3715,2,neutral
ahimsa-now.bsky.social,0.8934,1,positive
ahjeez.bsky.social,0.4696,1,positive
ahoytherematey.bsky.social,-0.8357,1,negative
aidan.skinner.me.uk,0.7096,1,positive
aighttho.bsky.social,0.0,1,neutral
aikiwomannc.bsky.social,0.7081,1,positive
airfriedrosie.bsky.social,-0.0516,1,negative
ajay71.bsky.social,0.0,1,neutral
ajaysaidthat.bsky.social,-0.3182,1,negative
ajbsaysthings.bsky.social,0.4767,1,positive
ajcoog.bsky.social,0.5571,1,positive
ajp35.bsky.social,0.4404,1,positive
ajparkes.bsky.social,-0.8176,1,negative
ajsaxx.bsky.social,0.4902,1,positive
ajvarisyummy.bsky.social,-0.1027,1,negative
ak0.bsky.social,0.296,1,positive
akashubelmorgan.bsky.social,0.0,1,neutral
akatzel.bsky.social,-0.296,1,negative
akiro318.bsky.social,-0.25020000000000003,3,neutral
akivabensarah.bsky.social,-0.4404,1,negative
akkolewd.bsky.social,0.10556666666666666,3,neutral
aklepp.bsky.social,0.07266666666666666,3,positive
akmsatc.bsky.social,-0.28595,2,negative
akpammie.bsky.social,-0.7003,1,negative
aktoman.bsky.social,0.4019,1,positive
akumapostsgames.bsky.social,0.285325,4,positive
akw.bsky.social,0.3612,1,positive
alacritysshadow.bsky.social,-0.2732,1,negative
alamkara.bsky.social,-0.1999,1,negative
alancerny.bsky.social,-0.3885,1,negative
alanrew.bsky.social,0.4019,1,positive
alanwino.bsky.social,0.0,1,neutral
alastairh4h.bsky.social,0.0,1,neutral
alazer.bsky.social,0.0,1,neutral
albertaclipper1.bsky.social,0.3818,1,positive
albertoreale.bsky.social,0.06175,4,negative
albinobadguy.bsky.social,0.0,1,neutral
albireo-50.bsky.social,0.0,1,neutral
ald9119.bsky.social,0.0,1,neutral
aldercheems.bsky.social,0.0,1,neutral
aleianjack.bsky.social,-0.2023,1,negative
alenxa.bsky.social,0.5093,1,positive
aleph.bsky.social,0.0,1,neutral
alexaesperanzaa.bsky.social,0.4738,1,positive
alexahawaii.bsky.social,-0.6513,1,negative
alexanderdudley.bsky.social,0.0,1,neutral
alexanderthegreatt.bsky.social,0.2558,1,positive
alexandra-gee.bsky.social,-0.5106,1,negative
alexandrajordanmd.bsky.social,0.0,1,neutral
alexanotherone.bsky.social,0.664,1,positive
alexblackwood.bsky.social,0.20015,2,positive
alexhemp.bsky.social,0.0498,1,neutral
alexis8.bsky.social,0.04400000000000001,2,negative
alexismac.bsky.social,0.0754,1,positive
alexpbloom.bsky.social,-0.4099,1,negative
alexremington.bsky.social,0.8074,1,positive
alexvont.bsky.social,-0.9552,1,negative
alfadorfox.bsky.social,-0.1779,1,negative
alflow.bsky.social,-0.148,2,negative
algunahuevada.bsky.social,0.0,1,neutral
alhadis.bsky.social,-0.7579,1,negative
alhalalcosmetics.nl,0.5574,1,positive
ali1m.bsky.social,0.6808,1,positive
alice6890644.bsky.social,0.0,1,neutral
alicerluc.bsky.social,0.0,1,neutral
alicia-daugherty.bsky.social,0.7903,1,positive
aliphaire.bsky.social,-0.7506,1,negative
