videoId,title,description,channelTitle,channelId,publishedAt,searchQuery,url,viewCount,likeCount,commentCount,commentsFetched,year,year_month,channel_type
E__4-fhFEdg,Cruise ship at center of hantavirus outbreak docks,"The cruise ship at the center of a hantavirus outbreak arrived in Spain, and officials started moving passengers back to their home ...",USA TODAY,UCP6HGa63sBC7-KHtkme-p-g,2026-05-10 15:24:06+00:00,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=E__4-fhFEdg,153036,1475,269,131,2026,2026-05,news_media
qvVlm4UdV3o,Three dead in suspected hantavirus outbreak on Atlantic cruise ship | BBC News,Three people have died after a suspected hantavirus outbreak on a cruise ship travelling from Argentina to Cape Verde.,BBC News,UC16niRr50-MSBwiO3YDb3RA,2026-05-04 09:04:12+00:00,hantavirus cruise ship outbreak,https://www.youtube.com/watch?v=qvVlm4UdV3o,132327,870,419,191,2026,2026-05,news_media
wsuoyLmsXyE,LIVE | Cruise Ship Hondius Arrives In Rotterdam Following Deadly Hantavirus Outbreak | APT,Join this channel to get access to perks: https://www.youtube.com/channel/UCpLEtz3H0jSfEneSdf1YKnw/join The cruise ship ...,APT,UCpLEtz3H0jSfEneSdf1YKnw,2026-05-18 06:37:47+00:00,hantavirus cruise ship news,https://www.youtube.com/watch?v=wsuoyLmsXyE,2103,21,0,0,2026,2026-05,general_trending
_qguRa1sLzE,Hantavirus Cruise Ship Arrives in Netherlands to Be Disinfected,The MV Hondius cruise ship at the center of the deadly hantavirus outbreak arrived in the Netherlands Monday where it will be ...,TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,2026-05-18 12:21:46+00:00,hantavirus cruise ship news,https://www.youtube.com/watch?v=_qguRa1sLzE,348,7,0,0,2026,2026-05,general_trending
QcCr4lNRCN0,Lab tests confirm positive hantavirus case in B.C. cruise ship passenger,Federal officials confirmed Canada's first case of hantavirus linked to the outbreak on the MV Hondius cruise ship on Sunday.,CTV News,UCi7Zk9baY1tvdlgxIML8MXg,2026-05-17 17:25:59+00:00,hantavirus cruise ship news,https://www.youtube.com/watch?v=QcCr4lNRCN0,7313,24,20,11,2026,2026-05,news_media
R4F4qmQLKUs,Hantavirus cruise ship | MV Hondius returns to the Netherlands for disinfection,Watch live from Rotterdam as MV Hondius - the vessel at the centre of a deadly hantavirus outbreak - returns for disinfection.,Sky News,UCoMdktPbSTixAyNGwb-UYkQ,2026-05-18 09:32:06+00:00,hantavirus cruise ship news,https://www.youtube.com/watch?v=R4F4qmQLKUs,5497,28,3,2,2026,2026-05,news_media
ol1raCzz8Ic,Quarantined American from hantavirus cruise ship gets emotional over lack of human contact #shorts,news #hantavirus #health CBS News 24/7 is the premier anchored streaming news service from CBS News and Stations that is ...,CBS News,UC8p1vwvWtl6T73JiExfWs1g,2026-05-16 01:54:52+00:00,hantavirus cruise ship news,https://www.youtube.com/watch?v=ol1raCzz8Ic,53131,513,103,55,2026,2026-05,news_media
c6kTY3ycyBc,Hantavirus News: The Cruise Ship &amp; Is it Really Spreading?,Upgrade your closet with Quince. Go to https://www.Quince.com/annieelise for free shipping on your next order and 365-day ...,Annie Elise,UCOK0fZAUx82plnLhTKZW6qg,2026-05-15 16:00:56+00:00,hantavirus cruise ship news,https://www.youtube.com/watch?v=c6kTY3ycyBc,95190,6226,1364,781,2026,2026-05,news_media
v6_kHpmKVpo,Canadian from hantavirus-hit cruise ship tests positive. #Hantavirus #Canada #MVHondius #BBCNews,,BBC News,UC16niRr50-MSBwiO3YDb3RA,2026-05-17 12:45:04+00:00,hantavirus cruise ship news,https://www.youtube.com/watch?v=v6_kHpmKVpo,27402,360,59,33,2026,2026-05,news_media
5YQzp5p8zas,"Global health update: Hantavirus, Ebola",Authorities in Canada confirm that a Canadian citizen who was on the cruise ship has tested positive for hantavirus. Meanwhile ...,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,2026-05-18 02:45:00+00:00,hantavirus update,https://www.youtube.com/watch?v=5YQzp5p8zas,20093,261,172,85,2026,2026-05,news_media
76mNAdv6XcQ,Results return for hantavirus-hit cruise ship passengers | 9 News Australia,Six people stuck in a Perth quarantine centre have discovered whether they're infected with the deadly virus. | *Subscribe and ...,9 News Australia,UCIYLOcEUX6TbBo7HQVF2PKA,2026-05-17 10:14:52+00:00,hantavirus update,https://www.youtube.com/watch?v=76mNAdv6XcQ,8880,52,11,9,2026,2026-05,news_media
